client_id	path	sentence	up_votes	down_votes	age	gender	accent
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19081823.mp3	Io es in amor con te.	2	1	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19081824.mp3	Io non pote dicer no.	2	1	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19081825.mp3	Solo le veritate pote liberar te.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19081826.mp3	Ille ha ardite su cerebro.	2	1	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19081827.mp3	Esque tu fide in Peter?	2	1	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086086.mp3	Io non te vole ci.	2	1	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086087.mp3	Io pote adjutar te.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086096.mp3	Parla me!	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086097.mp3	Como sta tu patre?	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086098.mp3	Como te pare illo?	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086099.mp3	Pote io reguardar le menu?	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086100.mp3	Es ille Japonese?	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086136.mp3	Io face mi deberes.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086137.mp3	Le puera portava collant lustrose.	2	1	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086138.mp3	Tom es diffidente.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086139.mp3	Hic me nasceva un poco de dubita.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19086140.mp3	Que me interessa?	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19087682.mp3	Ha tu realmente vidite illo?	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19087683.mp3	Le calor es insupportabile.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19087684.mp3	Il me place hiberno.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19087685.mp3	Scopo.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19087686.mp3	Era le prime vice que ille revideva Alice.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19105898.mp3	Isto es mi bursa.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19105899.mp3	Quando comencia nos?	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19105900.mp3	Bon postmeridie.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19105901.mp3	Del qual parte sta tu?	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19105902.mp3	Don Quixote de la Mancha es un del plus amate obras del litteratura mundial.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19105903.mp3	Maximo ha facite plorar Maria.	2	0	seventies	male	
4d288db52d42a080f862e335ab5a03ce03b7d068ae62bf1ccfbf184c9572814eab441e8d0aaa3e0a426073e513b7d05270c0f258529f71393fd5ef712296d6ae	common_voice_ia_19105904.mp3	Io jammais lo toccava.	2	0	seventies	male	
